Year;Annual_mean
1857;33.3333333333333
1858;30.5
1859;29.5833333333333
1860;25
1861;16.6666666666667
1862;18.1666666666667
1863;16.5833333333333
1864;16.4166666666667
1865;14.75
1866;15.25
1867;15.5833333333333
1868;18.25
1869;21.1666666666667
1870;23.25
1871;22.3333333333333
1872;24.9166666666667
1873;25.1666666666667
1874;25.4166666666667
1875;26.75
1876;27.1666666666667
1877;27.25
1878;29.3333333333333
1879;33.5833333333333
1880;34.3333333333333
1881;36.8333333333333
1882;38.3333333333333
1883;42
1884;45.1666666666667
1885;47.25
1886;48.6666666666667
1887;45.5833333333333
1888;45
1889;42.25
1890;40.8333333333333
1891;38.4166666666667
1892;37.6666666666667
1893;38.1666666666667
1894;39.0833333333333
1895;40.0833333333333
1896;41.75
1897;41.9166666666667
1898;43.8333333333333
1899;44.3333333333333
1900;42.25
1901;45.75
1902;48.5
1903;49.5833333333333
1904;49.9166666666667
1905;50
1906;51.25
1907;52.25
1908;52.6666666666667
1909;54.6666666666667
1910;54.5833333333333
1911;55.5833333333333
1912;55.9166666666667
1913;61.9166666666667
1914;58.4166666666667
1915;52.3333333333333
1916;52.25
1917;49.5
1918;46.5833333333333
1919;47.3333333333333
1920;50
1921;55.5833333333333
1922;59.75
1923;62.4166666666667
1924;62.3333333333333
1925;62.1666666666667
1926;62.9166666666667
1927;65.6666666666667
1928;64.6666666666667
1929;65.0833333333333
1930;64.0833333333333
1931;64.8333333333333
1932;66.0833333333333
1933;64.5
1934;65.5
1935;67.6666666666667
1936;70.5
1937;69.5833333333333
1938;69
1939;64.75
1940;58.8333333333333
1941;61.25
1942;55.6666666666667
1943;53.25
1944;56.0833333333333
1945;51.9166666666667
1946;57.5
1947;60.8333333333333
1948;61.25
1949;68.5833333333333
1950;70.0833333333333
1951;71.5
1952;73.0833333333333
1953;72.8333333333333
1954;72.8333333333333
1955;73.6666666666667
1956;75.75
1957;77.25
1958;77.9166666666667
1959;78.5
1960;79.25
1961;81.1666666666667
1962;81.25
1963;81.0833333333333
1964;82.0833333333333
1965;82.3333333333333
1966;82.1666666666667
1967;82.6666666666667
1968;83.25
1969;83.8333333333333
1970;84.5833333333333
1971;84.5833333333333
1972;84.75
1973;85.1666666666667
1974;84.5
1975;84
1976;83.6666666666667
1977;84.5833333333333
1978;84.6666666666667
1979;88.3333333333333
1980;86.3333333333333
1981;85.8333333333333
1982;85.6666666666667
1983;86.3333333333333
1984;86.5833333333333
1985;87.8333333333333
1986;87.6666666666667
1987;87.75
1988;87.25
1989;86.75
1990;86.1666666666667
1991;85.0833333333333
1992;84.4166666666667
1993;84.25
1994;84.25
1995;85.3333333333333
1996;84.9166666666667
1997;84.8333333333333
1998;84.1666666666667
1999;84.0833333333333
2000;83.9166666666667
2001;83.9166666666667
2002;84.5833333333333
2003;84.9166666666667
2004;85.25
2005;85.5833333333333
2006;86.75
2007;86.75
2008;87.5833333333333
2009;86.5
2010;87.6666666666667
2011;86.0833333333333
2012;84.3333333333333
2013;82
2014;83
2015;84.5833333333333
2016;85.6666666666667
2017;85.3333333333333
2018;84.5
2019;83.0833333333333
2020;83.3333333333333
2021;81.9166666666667
